video_id,title,publishedAt,channelId,channelTitle,duration,definition,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,hasPaidProductPlacement,comments_disabled,ratings_disabled,description
"HZ_Q20ir-gg","Full Video: Ayudha Pooja (Telugu) | Devara | NTR | Saif Ali Khan | Koratala Siva | Anirudh","2024-10-22T10:29:07Z","UCnJjcn5FrgrOEp5_N45ZLEQ","T-Series Telugu","PT3M6S","hd","Music","24.23.10","Telugu New song|Telugu Songs|New Songs|Songs Telugu|Telugu Video Songs|Telugu Hit songs|Latest telugu Songs|telugu hit songs|telugu super hit songs|telugu songs|latest video|Ayudha Pooja Full Video song|Ayudha Pooja Devara Part 1|Ayudha Pooja Jr Ntr|Ayudha Pooja Saif Ali Khan|Ayudha Pooja Kaala Bhairava|Ayudha Pooja Ramajogayya Sastry|Ayudha Pooja Anirudh Ravichander|Kaala Bhairava New Telugu Song|Kaala Bhairava Motiovational song|Ayudha Pooja Devara","1915696","151342","0","4135","https://i.ytimg.com/vi/HZ_Q20ir-gg/default.jpg","False","False","False","Here’s #AyudhaPooja full Video from Devara Part - 1 ft. NTR, Saif Ali Khan, Jahnvi Kapoor. Written & Directed by Koratala Siva. The Film’s music is composed by Anirudh Ravichander. #devara  #NTR30 #AyudhaPooja #ManofMassesNTR ------------------------------------------ Connect with T-Series Telugu: 👉 http://bit.ly/SubscribeToTseriesTelugu------------------------------------------Starring : Saif Ali Khan, Prakash Raj, Srikanth, Shine Tom ChackoMusic: Anirudh RavichanderDOP: Rathnavelu ISCProduction Designer : Sabu CyrilEditor: Sreekar PrasadProducer: Sudhakar Mikkilineni - Kosaraju HarikrishnaBanners: Nandamuri Taraka Ramarao Arts, Yuvasudha Arts DI: Annapurna StudiosPRODigital Media: NaniTelugu: Vamsi KakaMusic Label: T-SeriesMusic Credits Song Title : Ayudha PujaAlbum / Movie : DevaraLanguage : TeluguComposed by Anirudh RavichanderLyrics - Ramajogayya SastryVocals - Kaala Bhairava Keyboards, Synth & Rhythm Programmed by Anirudh RavichanderBacking Vocals - J.V.Sudhanshu, Akhil Chandra, Arjun Vijay, Arun Kaundinya, Sai Sri charan, Ritesh G Rao, Bharadwaj Krishna, Anirudh SuswaramArabic Violin, Violas, Cumbus, Cocolin,Chinese Bow,Turkish Violin,Oud, Saz, Dobro Guitar, Bouzouki, Shamisen, Ruan, Mandolin, Charango, Ghuzheng, Liuqin - AmalWoodwinds - Nikhiram TPElectric Guitar - Keba JeremiahTribal Rhythm & Percussions Produced by KalyanAdditional Rhythm Programmed by Karthik Vamsi & Shashank VijayAdditional Keyboard Programmed by ArishMusic Advisor - AnanthakrrishnanCreative Consultant - Sajith SatyaVocals Supervised by Sri KrishnaRecorded at Albuquerque Records, Chennai. Engineered by Srinivasan M, Shivakiran S Sruthi Audio Labs,Hyderabad, Engineered by Srinath KomanduriMixed by Vinay Sridhar & Srinivasan M at Albuquerque Records, ChennaiMastered by Luca Pretolesi at Studio DMI, Las Vegas, Assisted by AlistairMusic Coordinator - Velavan BMusic Label: T-Series---------------------------Enjoy & stay connected with us!!👉Subscribe to T-Series Telugu: http://bit.ly/SubscribeToTseriesTelugu👉Like us on Facebook: http://www.facebook.com/Tseriestelugu👉Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthOffical👉Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOffical👉Follow us on Whatsapp: https://whatsapp.com/channel/0029VaYvKJUGehEWUOwOio0qThanks Everyone for Watching Our Latest Telugu Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Telugu songs of all time."
"kVy2iYMI854","India A vs UAE | Men's T20 Emerging Teams Asia Cup | Match 8","2024-10-21T16:53:36Z","UC7ITT3ooYWDYY_ehIUbt6eg","Asian Cricket Council","PT10M47S","hd","Sports","24.23.10","[none]","3580199","66449","0","1464","https://i.ytimg.com/vi/kVy2iYMI854/default.jpg","False","False","False","India 'A' won by 7 wickets | India A vs UAE | Men's T20 Emerging Teams Asia Cup"
"CEfYokG1SF8","Bagheera Kannada Official Trailer | Sriimurali & Rukmini | Dr Suri | Prashanth Neel | Hombale Films","2024-10-21T04:06:00Z","UCarJoVXH0T2pdtcHBu9J8Bw","Hombale Films","PT2M36S","hd","Entertainment","24.23.10","Hombale films|hombale films channel|hombale|hombale films kannada|kfg chapter 2|hombale films kgf 2|hombale films|bagheera|bagheera official teaser|bagheera hombale films|prashanth neel bagheera trailer|bagheera trailer|bagheera teaser|bagheera official trailer|srii murali bagheera trailer|bagheera song|bagheera kannada movie|bagheera movie songs|bagheera trailer reaction|bagheera srii murali|prasanth neel bagheera trailer|bagheera songs|Bagheera","4907586","186752","0","7508","https://i.ytimg.com/vi/CEfYokG1SF8/default.jpg","False","False","False","ROAR WITH EXCITEMENT!Get ready for the ultimate action-packed ride! Watch the explosive trailer of #Bagheera, produced by Hombale Films, the makers of KGF, Kantara, and Salaar! Directed by Dr. Suri,  created by visionary director Prashanth Neel, Music by B. Ajaneesh Loknath and Produced by Vijay Kiragandur.The countdown begins! Bagheera hits theaters on Oct 31st!MOVIE CREDITS: STARRING - SRIIMURALI, RUKMINI VASANTH, PRAKASH RAJ, RANGAYANA RAGHU, ACHYUTH KUMAR, GARUDA RAMPRODUCTION HOUSE: HOMBALE FILMS MUSIC ON: HOMBALE MUSICPRODUCED BY:  VIJAY KIRAGANDUR.SCREENPLAY - DIALOGUE -DIRECTED BY : Dr. SURI.STORY : PRASHANTH NEEL.DIRECTOR OF PHOTOGRAPHY : AJ SHETTY.MUSIC-BACKGROUND-SOUND DESIGN BY :  B. AJANEESH  LOKNATH.SOUND DESIGNER AND MIXER: M R RAJAKRISHNANEDITOR :  PRANAV SRI PRASAD.ACTION : CHETHAN D’SOUZAEXECUTIVE PRODUCER : YOGI.G.RAJ-ABHIJEETH.ART- DIRECTOR : RAVI SANTEHAKLU.COSTUME DESIGNER :  YOGI.G.RAJCO - DIRECTOR : JOCKY ( B.THIMME GOWDA).DIRECTION DEPARTMENT : CHANDAN BHARGAV. ABHISHEK R.B VARADARAJ ADIGA. SANJAY.MANGER : KUMAR. CHAMPAKADAMA BABU. RAMESH.VFX : NIRAMAL KUMAR ( RADIANCE FX) 2nd  Operative CAMERA MAN: GURU PRASAD. PRAMOD KOTIAN. SANTHOSH.DOP TEAM : ADARSHA. SWAROOP. SAMANTH SHETTY. SAGAR GOWDA. COSTUME : GANESH.ART ASSOCIATES - PRAVEEN GOWDA. SRINATH. MARUTHESH HEMAGUDDA. SANATH. ASHOK. STILL : NARAYAN MGOFFICE MANAGEMENT : CHIDANAND (PUTTA). SURESH.PRO : SUDINDRA VENKATESH.MAKEUP - SIDDANNA - ASHOK DUBBING ENGINEER - ANAND Y.S. (AKASH AUDIO)For More Updates:YouTube: https://www.youtube.com/channel/UCarJoVXH0T2pdtcHBu9J8BwFacebook: https://www.facebook.com/HombaleFilms/Twitter: https://www.Twitter.com/hombalefilmsInstagram: https://www.instagram.com/hombalefilmsIn Association with Divo:FB : https://www.facebook.com/DivoKannadaTwitter : https://www.twitter.com/divomovies/Insta : https://www.instagram.com/divomusicofficial/#Bagheera  #SriiMurali #PrashanthNeel #RukminiVasanth #DrSuri #VijayKiragandur #HombaleFilms #BagheeraOfficialTrailer"
"19ZWAW-eCpI","Unstoppable with NBK Season 4, Episode 1 | Premieres Oct 25 | N. Chandrababu Naidu garu | ahaVideoIN","2024-10-22T06:30:06Z","UCmO-jDLU-KUcweCzktuDsbg","aha videoIN","PT5M30S","hd","Entertainment","24.23.10","aha|aha videoIN|aha video in channel|aha web series|aha subscription|Unstoppable with NBK|unstoppable|NBK|balakrishna|unstoppable latest promo|unstoppable promo|unstoppable 4|unstoppable with prabhas|unstoppable episodes|Chandrababu Naidu|CBN|unstoppable with cbn|unstoppable with cbn promo|balakrishna unstoppable|ap politics|ap politics latest news today|CBN ap politics|chandrababu naidu|unstoppable latest promo season 4|unstoppable with mahesh|PSPK","1177557","46087","0","2051","https://i.ytimg.com/vi/19ZWAW-eCpI/default.jpg","False","False","False","Two unstoppable forces, one epic show! 💥🔥విజయసాధనలో పడ్డ ఇబ్బందులు,జనసేనానితో  తనకున్న అప్యాయతలు,ఇలా ఎన్నో అంశాలు, అనుభూతులు, బాలా చంద్రుల ముచ్చట్లలో మీ ముందుకు!#Unstoppables4 premieres on Oct 25, 8:30 PM.#Chandrababunaidu #UnstoppableWithNBK #AhaOriginalSeries #NandamuriBalakrishna #JaiBalayya #NBK  #TeluguWebSeries @MansionHouseBrandy @SouthIndiaShoppingMall @HappiMobiles @vegajewellersvijayawada @realmemobiles @MyRonHomesOfficial @TenaliDoubleHorse @mydr.painrelief8192@haldiramsnacks  @arvindmenswear66 @nggheepure @KohlerIndia @ambicaandanurag4640@WHYNOTelectronics  @capitalhospitals5947 Watch Unstoppable ▶️ https://www.aha.video/webseries/unstoppable"
"JVAi_LxZKJI","Jetha और Bhide ने जमकर लिए Popatlal के मज़े | Taarak Mehta Ka Ooltah Chashmah |Jo Jetha Wahi Sikander","2024-10-21T09:30:07Z","UCBIT1FSJW6yTlzqK-31FDWg","LIV Comedy","PT19M51S","hd","Comedy","24.23.10","Ooltah Chashmah|liv comedy channel|taarak mehta latest episode|taarak mehta ka ooltah chashmah|hindi comedy show|comedy funny show|jethalal funny|tmkoc comedy|comedy express|liv comedy tmkoc|tmkoc funny episodes liv comedy|comedy episode|best of comedy videos|must watch comedy video|best comedy video|જેઠાલાલ|jetha aur daya comedy|Gokuldham Society|jethalal best comedy|ulta chashma|taarak mehta episode|jo jetha wahi sikander|tmkoc ep 1636|jetha comedy","1737280","15841","0","457","https://i.ytimg.com/vi/JVAi_LxZKJI/default.jpg","False","False","False","Click here to Subscribe to LIV Comedy: https://www.youtube.com/channel/UCBIT1FSJW6yTlzqK-31FDWg?sub_confirmation=1In this exciting episode, Madhavi has reported a bike stolen from the market. Inspector Chalu Pande assures them that the search team is working to find the bike. Will the police be able to locate it? Watch the full episode to find out what happens.Show Name - Taarak Mehta Ka Ooltah ChashmahStar Cast - Dilip Joshi, Disha Vakani, Amit BhattEpisode - 1636Produced By - Asit Kumar Modi, Neela Asit Modi#taarakmehtakaooltahchashmah #livcomedy #tmkoc #comedy2024 #तारकमेहताकाउल्टाचश्मा #comedy #jethalal #tarakmehta  About The Show:----------------------------Taarak Mehta Ka Ooltah Chashmah is a comedy show inspired by the famous humorous column 'Duniya Ne Undha Chashmah' written by the eminent Gujarati writer Mr. Tarak Mehta. This show revolves around the Gada Family which consists of uneducated businessmen Jethalal Champaklal Gada, Jethalal’s Wife Daya & their naughty Son Tipendra Gada living in Gokuldham Co-operative Society' and covers topical issues which are socially relevant. In case of a problem and emergency, Jethalal Gada often rushes to Taarak Mehta to seek his help and guidance as he finds a philosopher in him. The housing society residents help each other find solutions when facing common, real-life challenges and getting involved in sticky situations.Click here to watch all the episodes of 'Jo Jetha Wahi Sikander' : https://www.youtube.com/playlist?list=PLSXTaG1fT0cTWbYoG3SaD_hKNC0g53ugiJetha और Bhide ने जमकर लिए Popatlal के मज़े | Taarak Mehta Ka Ooltah Chashmah |Jo Jetha Wahi Sikander"
"4o79dvaA5Nk","Kabhi Main Kabhi Tum Episode 31 | Fahad Mustafa | Hania Aamir | 22 Oct 2024 (Eng Sub) | ARY Digital","2024-10-22T16:00:07Z","UC4JCksJF76g_MdzPVBJoC3Q","ARY Digital HD","PT38M8S","hd","Entertainment","24.23.10","ary|ary digital|new Pakistani dramas|Kabhi Main Kabhi Tum episode 31|watch Kabhi Main Kabhi Tum ep 31|kabhi main kabhi tum new drama|new drama kabhi mein kabhi tum|New drama Fahad Mustafa kabhi main kabhi tum|Kabhi Main Kabhi Tum|ARY Digital|ARY|Fahad Mustafa|Hania Aamir|Pakistani drama 2024|Pakistani drama 2024 Kabhi Main Kabhi Tum ep 31|latest episode 31 kabhi mein kabhi tum|new episode kabhi mein kabhi tum|hania amir new drama|Pakistani serial","8735781","190193","0","9123","https://i.ytimg.com/vi/4o79dvaA5Nk/default.jpg","False","False","False","Watch all the episode of Kabhi Main Kabhi Tum here: https://bit.ly/3zNNsGuKabhi Main Kabhi Tum | Episode 31 | Digitally Presented by Master Paints , foodpanda , Sunsilk & Skin White | Fahad Mustafa | Hania Aamir | 22 October 2024 | ARY Digital Drama The drama revolves around the concept of ‘Opposites Attract’ where Hania aka Sharjeena will portray the role of a bibliophile, topper and a sorted girl with a practical approach while Fahad’s character is a little laid-back.Writer: Farhat IshtiaqDirected by: Badar Mehmood Cast:Fahad Mustafa as MustafaHania Aamir as SharjeenaEmmad Irfani as AdeelJaved Sheikh as Iftekhar Bushra Ansari as ShaguftaMaya Khan as SidraNaeema Butt as RubabTauseeq Haider,Yousuf Bashir Qureshi.Watch Kabhi Main Kabhi Tum every Monday & Tuesday at 8 :00 PM on ARY Digital#kabhimainkabhitum  #fahadmustafa  #haniaaamir  #emmadirfani  #javedsheikh  #bushraansari  #mayakhan  #NaeemaButtPakistani Drama Industry's biggest Platform, ARY Digital, is the Hub of exceptional and uninterrupted entertainment. You can watch quality dramas with relatable stories, Original Sound Tracks, Telefilms, and a lot more impressive content in HD. Subscribe to the YouTube channel of ARY Digital to be entertained by the content you always wanted to watch.Subscribe: https://bit.ly/2PiWK68Join ARY Digital on Whatsapp 👉 https://bit.ly/3LnAbHU"
"d4_Qm9SJIu0","India 'A' vs Pakistan 'A' | Men's T20 Emerging Teams Asia Cup | Match 4","2024-10-19T18:08:17Z","UC7ITT3ooYWDYY_ehIUbt6eg","Asian Cricket Council","PT10M41S","hd","Sports","24.23.10","[none]","9280383","155195","0","5400","https://i.ytimg.com/vi/d4_Qm9SJIu0/default.jpg","False","False","False","India 'A' vs Pakistan 'A' | Men's T20 Emerging Teams Asia Cup | Match 4"
"Mych-mdavtI","ഞങ്ങളുടെ പുതിയ വീട് | Our New Home | GP | Gopika Anil","2024-10-22T11:36:27Z","UCF5T7k4xrHyNuwErVtY6BVA","Govind Padmasoorya","PT14M","hd","People & Blogs","24.23.10","Govind Padmasoorya|Gopika Anil|GG|G&G|GpzGopz|gp gopika|gp YouTube channel|GP Gopika new house","603555","13511","0","438","https://i.ytimg.com/vi/Mych-mdavtI/default.jpg","False","False","False","Happy to share that we have bought a new apartment in Sobha Marina One, Marine Drive Kochi. As we mark a new chapter, seeking your blessings and prayers. Thank you for all the love ❤️Happy Hugs G&G Contact: +918606446688_____________________________________Tallk to me:-Subscribe: https://www.youtube.com/channel/UCF5T7k4xrHyNuwErVtY6BVAhttps://padmasoorya.cominstagram: https://instagram.com/padmasoorya?igshid=1cfkepwccmyugFacebook: https://www.facebook.com/padmasoorya/"
"Kg-0Wwarl7w","Yolo - Lyrical | Kanguva | Suriya, Disha Patani | Devi Sri Prasad | Siva | Lavita Lobo | Viveka","2024-10-21T12:30:07Z","UCzee67JnEcuvjErRyWP3GpQ","Saregama Tamil","PT4M16S","hd","Music","24.23.10","yolo|yolo song|yolo video|yolo kanguva|yolo kanguva song|Lavita Lobo|Kanguva|Kanguva Tamil movie|Suriya 42|Suriya|Suriya movies|Suriya Kanguva|Disha Patani|Kanguva movie|actor suriya|Devi Sri Prasad|Devi Sri Prasad songs|Tamil movies|Tamil Films|Tamil movies Latest|Siruthai Siva|kanguva songs|kanguva tamil songs|devi sri prasad songs|devi sri prasad tamil songs|devi sri prasad kanguva songs|dsp tamil songs","7161962","191826","0","9717","https://i.ytimg.com/vi/Kg-0Wwarl7w/default.jpg","False","False","False","For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_TamilPresenting the peppy Yolo from 'Kanguva' starring Suriya, Disha Patani, Bobby Deol & others. Directed by Siva. Music Composed by 'Rockstar' Devi Sri Prasad.Song Credits:-Yolo Song (Tamil)Singers:  Devi Sri Prasad & Lavita Lobo Lyrics: VivekaMusicians:Keyboards: Vikas Badisa, Kp & BennyRhythm: KalyanAcoustic & Electric Guitar: GodfrayAlbum Mixed & Mastered By Uday Kumar@ “Dsp Studio – Chennai”Album Recorded By Uday Kumar,T. Uday Kumar & Suresh Kumar TaddiAsst. Sound Engn: Giri SaiVocal Supervision: S. P. AbhishekOrchestra In-Charge: V MuruganStudio Asst: Pugalendhi, Bharat & DhinakaranAlbum Co-Ordinator: B. ManikandanMovie Credits:-Starring : Suriya, Disha Patani, Bobby Deol & OthersDirected by : SivaDirector of Photography : Vetri PalanisamyMusic : 'Rockstar' Devi Sri PrasadArt : MilanEditor: Nishad YusufAction : Supreme SundarDialogues : Madan KarkyWriter : Adi NarayanaLyrics : Viveka - Madan KarkyRecording Engineer-Lawrence Vishnu Sound and Vision Studios Pvt LtdChief Co Director : R.RajasekarCostume Designer : Anu Vardhan (Suriya) Dhatsha PillaiCostumes : RajanMakeup : Serina (Suriya) , KuppusamySpecial Make up - Ranjith AmbadiADR: Vignesh GuruChoreography : Shobi – Prem RakshithSound Design : T UdhayakumarStills : C.H. Balu Publicity Design : Kabilan ChelliahColorist: K S Rajasekaran (Igene)VFX Head : Harihara SuthanCo-Directors : Hemachandraprabhu - ThirumalaiAssociate Director : S Kannan – R Thilipan- Rajaram – S NagendranProduction Controller : R.S. SureshmaniyanProduction Executive : Rama DossProduction Co-ordination : EV Dinesh KumarPRO : Suresh Chandra & Rekha D’OneDigital Partner : Mango Mass Media Pvt LtdDigital Promotions: Digitally & Whacked Out MediaCreative Promotions: BeatRouteExecutive Producer: A.G. RajaStudio Green CEO G. DhananjeyanCo-Producer: Neha GnanavelrajaProduced by : K.E. Gnanavelraja | Vamsi-PramodBanner : Studio Green | UV CreationsLyrics:PALLAVIHold Me – Hug Me – Kiss Me – Kill MeKaadhalaala Just Lock MeTake Me – Try Me – Trip Me – Trap MeAsaiyaala Just Rock MeSunrise Beach La – Shadow Sera NadakkalaamMoon Light-La Inanju NenejuMuththam Theachu KulikkalaamCivilisation MarakkalaamSiragadicchu ParakkalaamThadukki Vilzhunda Idathila KoodaThanga Pudhayal YedukkalaamYOLO – You Only Live OnceYOLO – You Got To Do TonnesCHARANAM 1Naangu Kangal – PēsumbodhuVaarthaikinge Yenna VēlaiMoochu Kaatru – ModhumbodhumPēchukkinge Yenna ThēvaiAye Para Para Para Para Parakkudhu ImaiVara Vara Vara Nee Vara Vara Endhan KannōramSira Sira Sira Siragadikkira NilaiVira Vira Vira Viral Nunigalil Thandhaai MinsaaramYOLO – You Only Live OnceYOLO – You Got To Do TonnesCHARANAM 2Megham Saaithu - Mazhayai OottriNeeyum Naanum NanayalaamaDēgam Sēra Daagam TheeraNeeyum Naanum InayalaamaAye Pudhu Pudhu Pudhu Pudhu Pudhu Pudhu IsaiThoda Thoda Thoda Unai Thoda Thoda KonjumNenjōramSuda Chuda Chuda Chuda Chuda Chuda AlaiThoda Thoda Thoda Enai Thoda Thoda VekkamSendhooramYOLO – You Only Live OnceYOLO – You Got To Do TonnesLabel: Saregama India Limited, A RPSG Group Company To buy Carvaan, visit https://www.saregama.com/carvaan/tamilTo buy virus free original tracks, visit  https://www.saregama.com/musicstoreFollow us on: YouTube: @saregamatamilFacebook: http://www.facebook.com/SaregamatamilX: https://twitter.com/saregamasouth#YOLO #Kanguva #Suriya #BobbyDeol #DishaPatani #DeviSriPrasad #SaregamaTamil"
"FonKx5wvuHI","Lucky Baskhar Trailer | Dulquer Salmaan, MeenakshiChaudhary | Venky Atluri | GV Prakash | Naga Vamsi","2024-10-21T13:08:29Z","UC2woPAI_KMAR25R_oezEQqw","Sithara Entertainments","PT2M31S","hd","Entertainment","24.23.10","Sithara Entertainments|Lucky Baskhar Trailer|Lucky Baskhar|dulquer salmaan|meenakshi chaudhary|venky atluri|GV Prakash kumar|Lucky Baskhar Movie|Lucky Bhaskar Trailer|Lucky Bhaskar Telugu Trailer|Lucky Baskhar Telugu Trailer|Lucky Baskhar Tamil Trailer|Lucky Baskhar Malayalam Trailer|Lucky Baskhar Hindi Trailer|Lucky Baskhar Movie Trailer|dulquer Salmaan Lucky Baskhar|Dulquer Lucky Baskhar Trailer","2424310","105182","0","2092","https://i.ytimg.com/vi/FonKx5wvuHI/default.jpg","False","False","False","Lucky Baskhar Trailer | Dulquer Salmaan, Meenakshi Chaudhary | Venky Atluri | GV Prakash | Naga Vamsi#LuckyBaskhar is our upcoming film Starring Dulquer Salmaan, Meenakshi Chaudhary in Lead Roles. Written & Directed by Venky Atluri. Music by GV Prakash Kumar. Cinematography by Nimish Ravi. Editing by Navin Nooli. Produced by Naga Vamsi S & Sai Soujanya Under Sithara Entertainments & Fortune Four Cinemas. Presented by Srikara Studios. Releasing this October 31st in Telugu, Malayalam, Hindi, Tamil & Kannada Languages.Cast & Crew Details:Movie: Lucky Baskhar Stars: Dulquer Salmaan, Meenakshi ChaudharyWriter & Director: Venky AtluriMusic: GV Prakash KumarCinematography: Nimish RaviEditor: Navin NooliArt Director - BanglanProducer: Naga Vamsi S - Sai SoujanyaPresenter - Srikara StudiosBanners - Sithara Entertainments & Fortune Four Cinemas► Subscribe: http://youtube.com/SitharaEntertainments► Like: https://facebook.com/SitharaEntertainments► Follow: http://instagram.com/SitharaEntertainments► Follow: https://twitter.com/SitharaEnts"
