video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,duration,view_count,likes,dislikes,comment_count,subscriber_count,engagement_rate,thumbnail_link,description,region_restriction
"m9s1NQG3TNY","MR BEAST PARODY 🤑 Ft. INDIAN CREATORS | CARRYMINATI","2024-10-23T07:59:19Z","UCj22tfcQrWG7EMEKS0qLeEg","CarryMinati","Comedy","24.24.10","""CarryMinati|Carry|youtuber|#CarryMinati|roast|carry new video|carryminati new video|carry new roast|carryminati new roast|MrBeast|MrBeast India|Bhuvan Bam|BB ki vines|Ashish Chanchlani|carryminati latest|ishowspeed parody|purav jha|harsh beniwal|Techno Gamerz|triggered insaan|fukra insaan|mortal bgmi|mythpat|beerbiceps|beerbiceps roast|round2hell|notyourtype|kabita's kitchen|Technical Guruji|Ranveer Allahbadia|feastables|MrBeast Parody|Indian Creators""","PT22M1S","20612087","4411436","0","215098","43700000","0.22445732933302678","https://i.ytimg.com/vi/m9s1NQG3TNY/default.jpg","Download WinZO & get a sign up bonus: https://winzo.onelink.me/gu8K/vgbt42qh 

Subscribe nhi kiya toh Gareeb ka shrap lagega, jao jaldi subscribe karo 

Credits:
Created By: CarryMinati
Producers: CarryMinati & Deepak Char
Written By: Vishal Dayama & CarryMinati 
Directed By: Vishal Dayama, CarryMinati & Sachin Negi 
Co-Producer: Naveed Manakkodan
Production House: One Hand Clap Media Pvt Ltd
Executive Producer: Akshay Gajra
Cinematography By: Abhijeet Chaudhary
Line Producer: Amit Kumar
Editors: Shashwata Datta, Ankur Sharma
Production Designer: Bajarang R. Yadav
Project Manager: Hitanshu 'rAge' Soneji 
Thumbnail Direction: Kunal Saraf 
BTS: Prathamesh
US Segment Directed by: CarryMinati 
US Shoot Shot by: MrBeast Team 
US Shoot Produced by: MrBeast Team & Deepak Char
US Shoot Location: MrBeast Studio 
US Shoot HMU: MrBeast Team
Main Cast:
Mr Least: CarryMinati
Titu Mama: Bhuvan Bam
Ashish Chanchlani 
Harsh Beniwal
ishowspeed: Purav Jha 
Beer Biceps: Ranveer Allahbadia
Fukra Insaan: Abhishek Malhan
Triggered Insaan: Nischay Malhan
Technical Guruji: Gaurav Chaudhry
Mortal: Naman Mathur
Techno: Ujjwal Chaurasia
Mythpat: Mithilesh Patankar
Kabita’s Kitchen: Kabita Singh
Round2hell: Wasim Ahmad, Nazim Ahmed, Zayn Saifi
Not Your Type: Aayu
Playing Chandler: Nishant Raghuvanshi
Playing Karl: Vansh Sayani
Casting Director: Shivam Gupta
Associate Casting Director: Solanki Sharma
Makeup Team:
Makeup & Prosthetic Designer:Yash Mhatre,Rupesh Pandit,Amod Doshi
Make Up & Hair :Karan Singh & Karan’s Makeup Academy Group (Munna Singh, Rakesh Lohar, Sujit Prasad)
Makup for Bhuvan Bam: Raj Kishor Singh
Stylist: Rizilia Kinny
Stylist Assitant: Ankita Soni
Direction Team:
Chief AD: Kelvin James Mendonca
Director’s Assistant: Pradyumna Bawari
2nd AD: Kushal Asnani
3rd AD: Riya Jani
Production Team:
Production Controller: Rohit Ranjan
Production Manager: Kashish Jolly
Shoot Accountant: Dilmeet Kaur
Production Intern: Sameer Salmani
DOP Team:
1st AC: Kushal Desai
2nd AC: Vanshikha Singh
3rd AC: Shardul Tikone
Focus pullers: Sushil Kumar Goswami, Babu Kanttoappa Tipanpally , Gopal Sharma
Gaffer: Deepak Takke
DIT: Jitendra Yadav
Art Team:
1st Asst. Art Director: Aditya Divan
2nd Asst. Art Director: Kaushik kachori
3rd Asst. Art Director: Sanskriti
Art boys: Ashish kumar , Shivam kumar, Subhas Yadav, Deepak, Sanjib mondal, Sagre alam, Firoz Shaikh, Dev Das, Sumeet
Setting Team: Shaikh Jane Alam
Sound Team:
Sound Designer: Deepak Poojary, Vikhyat Paniyadi
Dialogue Editor: Vikhyat Paniyadi
Sound Effects Editor: Mayur Agam
Sound Team On Set:
Sound on Set: SS Sound
Sound Recordist: Akhilesh P Singh
Boom Operator: Abhishek Rathour
Finance Team:
Head of Finance: Amruta Purohit
Senior Manager Finance: Naseef Anwer
Senior Associates Finance: Aarthi Santosh Vyas, Mayur Uthekar and Sarayash Shukla
Associate: Suraj Kumar
VFX Team:
VFX Studio: Sharpcom Media
VFX Supervisor: Sachin Toraskar
VFX Producer: Kapil Gyanchandani
Comp: Ajit Apa Udhare , Prashant Pawar
Roto: Gurakh Khairnar
3D Motion Designer: Shailesh Kumar
Online Editor (Motion Graphics): Debajit Dey
Online Clean Up Post:
Studio: Picturepost Studios Ltd
Online Artist: Rahul Pasi
Online Assist: Om Singh
Post Grade:
DI Colorist: Manual Martos (Nube) 
Asstiant Colorist - Muzammil Khan, Ayush Badrike
DI Producer: Aaqib Chunawala
Thumbnail & SRT Coordination: Shubham Verma
Thumbnail by: Hritik 'Ritz' Singh 
English Subtitles: Humour me, Clifford Afonso 
Camera Attendant: Hs Shivraj, Amit Yadav, Niraj Maurya, Aryan Panday, Nitesh Singh, Mahendrprtsp Singh, Samem Ali, Raju Kumar.
Light Team:
Electrician: Alam Shaikh
Best Boy: Sakil Khan
Operator: Rahul Gule
Light Men: Sonu, Aslam Shaikh, Kiron Shaikh, Moni Roy, Raju Sharma, Amit Kumar, Mevalal Cobay, Erfan Khan, Ajay Sharma, Arif Shaikh, Babon Sharma, Ahil Khan, Laxman Das, Hamja Shaikh, Jamir SK, Arvin Sharma
Spot Team:
Spot Incharge: Ayaan Khan
Production Boys: Shahid, Moin, Manish, Maqsood ,Sajid, Rafiq, Sandeep, Anil, Ashraf
Craft: Ali Brothers Tea & Craft Properties
Dressmen: Umesh Prasad Yadav & Team
Junior’s Coordinator: Shree Guru Communications
Lights Equipment’s: A 1 Lights & Grip 
Sound Equipment’s: S S Sound
Camera Equipment’s: Nishu Video Tech
Vanity: Shiddhivinayak Vanity
Car: Tasco International LLP & Anil Tours & Travels
Facilities: Jyotsna Equipments
Catering: Laxmi Food Supplier (Chirag Patel) & Siddhivinayak caterers
Studio: Moonlit Studios
Location 1: Vrundavan Entertainment Pvt Ltd
Location 2: Drama Company & Aditi Essential Pvt Ltd (Aarya Bunglow)

CarryisLive► @CarryisLive 
Instagram► https://www.instagram.com/carryminati... 
Carryminati Productions Official► @carryminatiproductionsoffi535  
Facebook ► https://www.facebook.com/CarryDeol/
Twitter ► https://twitter.com/CarryMinati
Snapchat► heyAjey

For Business Related queries: workforcarry@gmail.com 

About CarryMinati : Youthoob certified member

DISCLAIMER: please refer to the below link. 
https://bit.ly/3iRKHH8","None"
"hylIXfZeB4c","Amaran - Trailer | Sivakarthikeyan, Sai Pallavi | Rajkumar | GV Prakash | Kamal Haasan | Mahendran","2024-10-23T12:28:07Z","UCzee67JnEcuvjErRyWP3GpQ","Saregama Tamil","Film & Animation","24.24.10","""amaran|amaran movie|amaran movie trailer|amaran tamil trailer|amaran sivakarthikeyan|amaran sk movie|sivakarthikeyan sai pallavi|g v prakash|amaran g v prakash|g v prakash songs|g v prakash music|g v prakash love songs|latest tamil movie|latest movie 2024|2024 sk movie|amaran sk movie trailer|Rajkumar Periasamy""","PT2M21S","4286980","325546","0","8666","7850000","0.07795977587952357","https://i.ytimg.com/vi/hylIXfZeB4c/default.jpg","For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_Tamil

Presenting the official trailer of ""Amaran"" starring Sivakarthikeyan, Sai Pallavi and others. Directed by Rajkumar Periasamy. Music Composed by G V Prakash Kumar.

Movie Credits:
Starring: Sivakarthikeyan, Sai Pallavi
Written & Directed by: Rajkumar Periasamy
Banner: Raajkamal Films International & Sony Pictures International Productions 
Produced by : Kamal Haasan, Sony Pictures International Productions, R. Mahendran 
Co- Produced by: Vakil Khan (God Bless Entertainment)

Music: G V Prakash Kumar 
Cinematographer: CH Sai 
Action Directors : Anbariv , Stefan Richter
Editor: R. Kalaivannan
Dance Choreography: Sherif
Production Design: Rajeevan
Costume designers: Amritha Ram, Sameera Saneesh, V. Sai 
Make Up : Altaf Assu Mammoo, U K Sasikumar
Dialogue Writer: Rajkumar Periasamy
Stills: D.Narendran
Publicity Designer: Gopi Prasannaa
PRO: Diamond Babu & Sathish Kumar, Vamsi Shekar 
Subtitles - Rekhs
Sound Designer: Sync Cinema
Sound Mixer : Kannan Ganpat
VFX: Spectre Post
DI: Pixel Light Studio
Production Controller: M. Senthel
Associate Director: Naveen Senthilnathan
Digital Marketing : Magizh Mandram
Executive Producer: S. Disney


Label: Saregama India Limited, A RPSG Group Company

 
To buy Carvaan, visit https://www.saregama.com/carvaan/tamil
To buy virus free original tracks, visit  https://www.saregama.com/musicstore
Follow us on: YouTube: @saregamatamil
Facebook: http://www.facebook.com/Saregamatamil
X: https://twitter.com/saregamasouth

#Sivakarthikeyan #Amaran #SaregamaTamil","None"
"ihO4EGhUS_4","The RajaSaab Motion Poster | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad | People Media Factory","2024-10-23T08:39:22Z","UCrzx3ZPXEZpzEGLF1gIuORQ","People Media Factory","Entertainment","24.24.10","""People Media Factory|The RajaSaab|The RajaSaab Motion Poster|The Raja Saab Motion Poster Official|The Raja Saab Glimpse|The Raja Saab Update|The Raja Saab Trailer|The Raja Saab Teaser|Prabhas|Prabhas Raja Saab|Prabhas New Movie|Prabhas Birthday Special Video|Raja Saab New Look|Raja Saab Prabhas Movie Glimpse|Prabhas Raja saab|Prabhas Raja saab Update|Malvika Mohanan|Nidhi Agarwal New Movie|Thaman|Director Maruthi Raja Saab|Raja Saab Making Video|Raja Saab""","PT2M1S","6245577","300512","0","7529","1040000","0.049321463813511546","https://i.ytimg.com/vi/ihO4EGhUS_4/default.jpg","#TheRajaSaab #Prabhas #PeopleMediaFactory #HappyBirthdayPrabhas

#TheRajaSaab Motion Poster is here….

Rebellion and royalty didn’t just come…..they’re in his blood 🤙🏻🤙🏻

The Powerful and Majestic reign of #TheRajaSaab will set new rules across the board 🔥

#HappyBirthdayPrabhas ❤️

April 10, 2025 – A REBEL’s ENTERTAINMENT EXPLOSION 💥

#TheRajaSaabOnApril10th

𝐀 𝐑𝐞𝐛𝐞𝐥’𝐬 𝐄𝐧𝐭𝐞𝐫𝐭𝐚𝐢𝐧𝐦𝐞𝐧𝐭 𝐄𝐱𝐩𝐥𝐨𝐝𝐞𝐬 𝐖𝐨𝐫𝐥𝐝𝐰𝐢𝐝𝐞 𝐎𝐧 𝐀𝐩𝐫𝐢𝐥 𝟏𝟎𝐭𝐡, 𝟐𝟎𝟐𝟓 🌋 

#Prabhas #MalvikaMohanan #NidhhiAgerwal #Maruthi #TGVishwaPrasad #ThamanS #RidhiKumar #VivekKuchibhotla #PeopleMediaFactory #KrithiPrasad #KarthikPalani #Rajeevan #VenkateshwaraRao #RamLaxman #KingSolomon #SKN

Cast: Prabhas, Malavika Mohanan, Nidhhi Agerwal, Riddhi Kumar

Crew Details:
Written & Directed by: Maruthi
Produced by: TG Vishwa Prasad
Music: Thaman S
Co-Producer: Vivek Kuchibhotla
DOP: Karthik Palani
Production Designer: Rajeevan
Associate Producer: Raja Subramanian, Sunil Shah
Editor: Kotagiri Venkateshwara Rao
Fight Master: Ram Laxman, King Solomon
VFX Producer: RC Kamalakannan
Creative Producer: SKN
Marketing: Walls & Trends
Sound design: Sync Cinema
VFX Company: Deccan Dreams
Motion Poster: Venky
Visual supervision: Anil Kumar Upadyaula


--------------------------------------------------------------------

#PeopleMediaFactory is a film production company established by TG Vishwa Prasad. Many successful films are being made under this production banner and are currently very diligent with a line-up of movies.

--------------------------------------------------------------------

Watch More Videos On People Media Factory:
☛ https://youtu.be/dqaErJ4BE00
☛ https://youtu.be/jBYWji7exL0
☛ https://youtu.be/GPVOzKcsBLQ
☛ https://youtu.be/6EA35DXQz00
☛ https://youtu.be/fGV-Uhv-b_4
☛ https://www.youtube.com/playlist?list=PLlYAJZ1s1Lwyf8xNYlbsPN2ySqD1rI8NO
☛ https://www.youtube.com/playlist?list=PLlYAJZ1s1LwzLrulZLdvdj7UBbZuepEg2

--------------------------------------------------------------------
Stay Connected with People Media Factory:

☛ Subscribe to Our YouTube Channel: https://youtube.com/@PeopleMediaFactory?si=kGbwH_TiWt7-Rk5G
☛ Follow us on Facebook: https://www.facebook.com/peoplemediafactory
☛ Follow us on Instagram: https://www.instagram.com/peoplemediafactory/
☛ Follow us on Twitter: https://twitter.com/peoplemediafcy
☛ Visit Our Website: https://peoplemediafactory.com/","None"
"vN2RLIosaQY","Oman vs India 'A' | Men's T20 Emerging Teams Asia Cup | Match 12","2024-10-23T17:17:20Z","UC7ITT3ooYWDYY_ehIUbt6eg","Asian Cricket Council","Sports","24.24.10","""[none]""","PT9M40S","1463785","32800","0","650","2890000","0.0228517166113876","https://i.ytimg.com/vi/vN2RLIosaQY/default.jpg","India 'A' won by 6 wickets | Oman vs India 'A' | Men's T20 Emerging Teams Asia Cup","None"
"HZ_Q20ir-gg","Full Video: Ayudha Pooja (Telugu) | Devara | NTR | Saif Ali Khan | Koratala Siva | Anirudh","2024-10-22T10:29:07Z","UCnJjcn5FrgrOEp5_N45ZLEQ","T-Series Telugu","Music","24.24.10","""Telugu New song|Telugu Songs|New Songs|Songs Telugu|Telugu Video Songs|Telugu Hit songs|Latest telugu Songs|telugu hit songs|telugu super hit songs|telugu songs|latest video|Ayudha Pooja Full Video song|Ayudha Pooja Devara Part 1|Ayudha Pooja Jr Ntr|Ayudha Pooja Saif Ali Khan|Ayudha Pooja Kaala Bhairava|Ayudha Pooja Ramajogayya Sastry|Ayudha Pooja Anirudh Ravichander|Kaala Bhairava New Telugu Song|Kaala Bhairava Motiovational song|Ayudha Pooja Devara""","PT3M6S","3180850","176859","0","4485","10700000","0.05701117625791848","https://i.ytimg.com/vi/HZ_Q20ir-gg/default.jpg","Here’s #AyudhaPooja full Video from Devara Part - 1 ft. NTR, Saif Ali Khan, Jahnvi Kapoor. Written & Directed by Koratala Siva. The Film’s music is composed by Anirudh Ravichander. 

#devara  #NTR30 #AyudhaPooja #ManofMassesNTR 
------------------------------------------ 
Connect with T-Series Telugu: 👉 http://bit.ly/SubscribeToTseriesTelugu
------------------------------------------
Starring : Saif Ali Khan, Prakash Raj, Srikanth, Shine Tom Chacko
Music: Anirudh Ravichander
DOP: Rathnavelu ISC
Production Designer : Sabu Cyril
Editor: Sreekar Prasad
Producer: Sudhakar Mikkilineni - Kosaraju Harikrishna
Banners: Nandamuri Taraka Ramarao Arts, Yuvasudha Arts 
DI: Annapurna Studios
PRO
Digital Media: Nani
Telugu: Vamsi Kaka
Music Label: T-Series

Music Credits 

Song Title : Ayudha Puja
Album / Movie : Devara
Language : Telugu
Composed by Anirudh Ravichander
Lyrics - Ramajogayya Sastry
Vocals - Kaala Bhairava 


Keyboards, Synth & Rhythm Programmed by Anirudh Ravichander
Backing Vocals - J.V.Sudhanshu, Akhil Chandra, Arjun Vijay, Arun Kaundinya, 
Sai Sri charan, Ritesh G Rao, Bharadwaj Krishna, Anirudh Suswaram
Arabic Violin, Violas, Cumbus, Cocolin,Chinese Bow,Turkish Violin,
Oud, Saz, Dobro Guitar, Bouzouki, Shamisen, Ruan, Mandolin, Charango, Ghuzheng, 
Liuqin - Amal
Woodwinds - Nikhiram TP
Electric Guitar - Keba Jeremiah
Tribal Rhythm & Percussions Produced by Kalyan
Additional Rhythm Programmed by Karthik Vamsi & Shashank Vijay
Additional Keyboard Programmed by Arish
Music Advisor - Ananthakrrishnan
Creative Consultant - Sajith Satya
Vocals Supervised by Sri Krishna
Recorded at Albuquerque Records, Chennai. 
Engineered by Srinivasan M, Shivakiran S Sruthi Audio Labs,Hyderabad, Engineered by Srinath Komanduri
Mixed by Vinay Sridhar & Srinivasan M at Albuquerque Records, Chennai
Mastered by Luca Pretolesi at Studio DMI, Las Vegas, Assisted by Alistair
Music Coordinator - Velavan B

Music Label: T-Series
---------------------------
Enjoy & stay connected with us!!

👉Subscribe to T-Series Telugu: http://bit.ly/SubscribeToTseriesTelugu
👉Like us on Facebook: http://www.facebook.com/Tseriestelugu
👉Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthOffical
👉Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOffical
👉Follow us on Whatsapp: https://whatsapp.com/channel/0029VaYvKJUGehEWUOwOio0q

Thanks Everyone for Watching Our Latest Telugu Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Telugu songs of all time.","None"
"4o79dvaA5Nk","Kabhi Main Kabhi Tum Episode 31 | Fahad Mustafa | Hania Aamir | 22 Oct 2024 (Eng Sub) | ARY Digital","2024-10-22T16:00:07Z","UC4JCksJF76g_MdzPVBJoC3Q","ARY Digital HD","Entertainment","24.24.10","""ary|ary digital|new Pakistani dramas|Kabhi Main Kabhi Tum episode 31|watch Kabhi Main Kabhi Tum ep 31|kabhi main kabhi tum new drama|new drama kabhi mein kabhi tum|New drama Fahad Mustafa kabhi main kabhi tum|Kabhi Main Kabhi Tum|ARY Digital|ARY|Fahad Mustafa|Hania Aamir|Pakistani drama 2024|Pakistani drama 2024 Kabhi Main Kabhi Tum ep 31|latest episode 31 kabhi mein kabhi tum|new episode kabhi mein kabhi tum|hania amir new drama|Pakistani serial""","PT38M8S","14850759","272909","0","11386","58400000","0.019143466000626636","https://i.ytimg.com/vi/4o79dvaA5Nk/default.jpg","Watch all the episode of Kabhi Main Kabhi Tum here: https://bit.ly/3zNNsGu

Kabhi Main Kabhi Tum | Episode 31 | Digitally Presented by Master Paints , foodpanda , Sunsilk & Skin White | Fahad Mustafa | Hania Aamir | 22 October 2024 | ARY Digital Drama 

The drama revolves around the concept of ‘Opposites Attract’ where Hania aka Sharjeena will portray the role of a bibliophile, topper and a sorted girl with a practical approach while Fahad’s character is a little laid-back.

Writer: Farhat Ishtiaq
Directed by: Badar Mehmood
 
Cast:
Fahad Mustafa as Mustafa
Hania Aamir as Sharjeena
Emmad Irfani as Adeel
Javed Sheikh as Iftekhar 
Bushra Ansari as Shagufta
Maya Khan as Sidra
Naeema Butt as Rubab
Tauseeq Haider,
Yousuf Bashir Qureshi.

Watch Kabhi Main Kabhi Tum every Monday & Tuesday at 8 :00 PM on ARY Digital

#kabhimainkabhitum  #fahadmustafa  #haniaaamir  #emmadirfani  #javedsheikh  #bushraansari  #mayakhan  #NaeemaButt

Pakistani Drama Industry's biggest Platform, ARY Digital, is the Hub of exceptional and uninterrupted entertainment. You can watch quality dramas with relatable stories, Original Sound Tracks, Telefilms, and a lot more impressive content in HD. Subscribe to the YouTube channel of ARY Digital to be entertained by the content you always wanted to watch.

Subscribe: https://bit.ly/2PiWK68

Join ARY Digital on Whatsapp
 👉 https://bit.ly/3LnAbHU","None"
"0nCCwBjMxsw","ഷഫുമോന്‍ കണ്ടു പിടിച്ച പെണ്ണിനെ കാണാൻ 🥰SHAS DOT COM🦋","2024-10-23T06:35:29Z","UC5LJubeycbLXoR9jiWtVDrQ","SHAS DOT COM by shahadiya sakeer","People & Blogs","24.24.10","""പെണ്ണുകാണൽ|Pennukanal|shasdotcom|shafmonpennu|viral|trending|kannoor|engagement|lovestory|baby|sister""","PT15M32S","627309","15120","0","2553","588000","0.028172718708005147","https://i.ytimg.com/vi/0nCCwBjMxsw/default.jpg","🥳 Don't miss out on the exclusive offers available on Amazon right now! Check them out. https://www.amazon.in/stores/page/085FB9FA-F898-4437-82AF-651B1A01F9E9?channel=Sash%20Dot%20Com
@iberiaskinbrandsindia @neutriderm_ind @dermaviveindia

👉🏻 Buy 2 and get 5% off on the Pre-Makeup Combo/Dermavive Hydra Cleanser 120ml. 
👉🏻 Enjoy a 5% direct discount on the Pre-Makeup Combo.

Grab your Pre-Makeup Combo here: https://bit.ly/3U7DGXa
🔹 Dermavive Hydra Cleanser
🔹 Neutriderm Moisturising Lotion

Want to enhance your skincare routine this festive season? Shop at Iberia Skinbrands, Amazon, Nykaa, or directly from Neutriderm India's official website! 🛒","None"
"_1phTBCKWuA","Yeh Rishta Kya Kehlata Hai Today Episode NEW PROMO | 23rd October 2024 |","2024-10-23T00:38:29Z","UCVGiG3GcphUyMzNXg2iMN3A","Telly Reporter","Entertainment","24.24.10","""yeh rishta kya kehlata hai|yeh rishta kya kehlata hai full episode today|yeh rishta kya kehlata hai new promo|yrkkh full episode today promo|Yeh Rishta Kya Kehlata hain Full Episode Promo 21st october2024|star plus yeh rishta kya kehlata hai|yeh rishta kya kehlata hai today episode|yeh rishta kya kehlata hai 23rd october 2024|yeh rishta kya kehlata hai today full episode|yeh rishta kya kehlata hai aaj ka full episode|yrkkh telly reporter|yrkkh full episode today""","PT1M","2053124","23172","0","464","6050000","0.011512212608688028","https://i.ytimg.com/vi/_1phTBCKWuA/default.jpg","Star Plus Serial YRKKH / Yeh Rishta Kya Kehlata Hai NEW PROMO Today Episode | 23rd  October 2024  | #yehrishtakyakehlatahai #RohitPurohit #SamridhiShukla #yrkkh 
➤Subscribe Telly Reporter @ http://bit.do/TellyReporter
⦿SOCIAL MEDIA Links⦿
➤https://www.facebook.com/TellyReporter
➤https://x.com/TellyReporter
➤https://www.instagram.com/TellyReporter
⦿ Follow TellyReporter With #TellyReporter #TellyExclusive","None"
"kVy2iYMI854","India ""A"" vs UAE | Men's T20 Emerging Teams Asia Cup | Match 8","2024-10-21T16:53:36Z","UC7ITT3ooYWDYY_ehIUbt6eg","Asian Cricket Council","Sports","24.24.10","""[none]""","PT10M47S","4121883","71870","0","1674","2890000","0.017842330798812096","https://i.ytimg.com/vi/kVy2iYMI854/default.jpg","India 'A' won by 7 wickets | India ""A"" vs UAE | Men's T20 Emerging Teams Asia Cup","None"
"CEfYokG1SF8","Bagheera Kannada Official Trailer | Sriimurali & Rukmini | Dr Suri | Prashanth Neel | Hombale Films","2024-10-21T04:06:00Z","UCarJoVXH0T2pdtcHBu9J8Bw","Hombale Films","Entertainment","24.24.10","""Hombale films|hombale films channel|hombale|hombale films kannada|kfg chapter 2|hombale films kgf 2|hombale films|bagheera|bagheera official teaser|bagheera hombale films|prashanth neel bagheera trailer|bagheera trailer|bagheera teaser|bagheera official trailer|srii murali bagheera trailer|bagheera song|bagheera kannada movie|bagheera movie songs|bagheera trailer reaction|bagheera srii murali|prasanth neel bagheera trailer|bagheera songs|Bagheera""","PT2M36S","5341158","195879","0","7964","5760000","0.03816457030479158","https://i.ytimg.com/vi/CEfYokG1SF8/default.jpg","ROAR WITH EXCITEMENT!

Get ready for the ultimate action-packed ride! Watch the explosive trailer of #Bagheera, produced by Hombale Films, the makers of KGF, Kantara, and Salaar! 
Directed by Dr. Suri,  created by visionary director Prashanth Neel, Music by B. Ajaneesh Loknath and Produced by Vijay Kiragandur.

The countdown begins! Bagheera hits theaters on Oct 31st!

MOVIE CREDITS: 
STARRING - SRIIMURALI, RUKMINI VASANTH, PRAKASH RAJ, RANGAYANA RAGHU, ACHYUTH KUMAR, GARUDA RAM
PRODUCTION HOUSE: HOMBALE FILMS 
MUSIC ON: HOMBALE MUSIC
PRODUCED BY:  VIJAY KIRAGANDUR.
SCREENPLAY - DIALOGUE -DIRECTED BY : Dr. SURI.
STORY : PRASHANTH NEEL.
DIRECTOR OF PHOTOGRAPHY : AJ SHETTY.
MUSIC-BACKGROUND-SOUND DESIGN BY :  B. AJANEESH  LOKNATH.
SOUND DESIGNER AND MIXER: M R RAJAKRISHNAN
EDITOR :  PRANAV SRI PRASAD.
ACTION : CHETHAN D’SOUZA
EXECUTIVE PRODUCER : YOGI.G.RAJ-ABHIJEETH.
ART DIRECTOR: RAVI SANTHEHAKLLU
COSTUME DESIGNER :  YOGI.G.RAJ
CO - DIRECTOR : JOCKY ( B.THIMME GOWDA).
DIRECTION DEPARTMENT : CHANDAN BHARGAV. ABHISHEK R.B VARADARAJ ADIGA. SANJAY.
MANGER : KUMAR. CHAMPAKADAMA BABU. RAMESH.
VFX : NIRAMAL KUMAR ( RADIANCE FX) 
2nd  Operative CAMERA MAN: GURU PRASAD. PRAMOD KOTIAN. SANTHOSH.
DOP TEAM : ADARSHA. SWAROOP. SAMANTH SHETTY. SAGAR GOWDA. 
COSTUME : GANESH.
ART ASSOCIATES - PRAVEEN GOWDA. SRINATH. MARUTHESH HEMAGUDDA. SANATH. ASHOK. 
STILL : NARAYAN MG
OFFICE MANAGEMENT : CHIDANAND (PUTTA). SURESH.
PRO : SUDINDRA VENKATESH.
MAKEUP - SIDDANNA - ASHOK 
DUBBING ENGINEER - ANAND Y.S. (AKASH AUDIO)


For More Updates:
YouTube: https://www.youtube.com/channel/UCarJoVXH0T2pdtcHBu9J8Bw
Facebook: https://www.facebook.com/HombaleFilms/
Twitter: https://www.Twitter.com/hombalefilms
Instagram: https://www.instagram.com/hombalefilms

In Association with Divo:
FB : https://www.facebook.com/DivoKannada
Twitter : https://www.twitter.com/divomovies/
Insta : https://www.instagram.com/divomusicofficial/

#Bagheera  #SriiMurali #PrashanthNeel #RukminiVasanth #DrSuri #VijayKiragandur #HombaleFilms #BagheeraOfficialTrailer","None"
