video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"N0x4btdmL2g","Rap Việt 2024 Tập 4: Nhân tố mới xuất hiện, Dangrangto - Robber đổ bộ gây bão sân khấu","2024-10-12T14:00:07Z","UCkna2OcuN1E6u5I8GVtdkOw","Vie Channel ","Music","24.15.10","vie channel|rapper|underground|the rapper|rapper việt|rap việt trở lại|suboi|justatee|big daddy|thái vg|rap việt full|rap việt tập 4|rap việt 2024|rap viet 2024|Rap Việt 2024|rap việt 2024 mới nhất|rap viet tap 4|rap việt 2024 tập 4|tập 4 rap việt 2024|tap 4 rap viet 2024|rap việt mới nhất|rap viet mua 4|thai vg|fhero|karik|team suboi|team karik|team big daddy|vòng chinh phục|rap việt mùa 4 tập 4|rangdangto|robber rap viet|coldzy|v#|rap viet 4","4704986","91132","0","5322","https://i.ytimg.com/vi/N0x4btdmL2g/default.jpg","False","False","Rap Việt 2024 Tập 4: Nhân tố mới xuất hiện, Dangrangto - Robber đổ bộ gây bão sân khấu#rapviệt2024 #rapviet2024 #dangrangto #robber #coldzy #TrấnThành #Karik #Suboi #JustaTee #BigDaddy #BRay #TháiVG #fhero PEPSI KHÔNG CALO - THÊM CHANH, THÊM ĐÃAA 🤘Hãy tận hưởng những khoảnh khắc bùng nổ cùng Pepsi Vị Chanh Không Calo, cho bạn vị ngon bao ĐÃAAAA#Pepsi #PepsiKhongCalo #ViChanhKhongCalo #pepsikhongcalothemchanhthemdaĐón xem #RapViệt2024 phát sóng trên kênh truyền hình Vie Channel - HTV2, Vie GIẢITRÍ và ứng dụng VieONRap Việt được mua bản quyền từ chương trình đình đám tại Thái Lan – The Rapper, đây là format từng đạt nhiều giải thưởng vang dội như Giải thưởng truyền hình châu Á lần thứ 23 – 2018 với hạng mục Chương trình giải trí tổng hợp hay nhất, Giải thưởng sáng tạo của Viện hàn lâm châu Á 2019, Giải thưởng Zocial Awards Thái Lan 2019 - Giải thưởng giải trí hay nhất trên mạng xã hội.👉 Xem sớm nhất trên ứng dụng VieON: https://click.vieon.vn/wSBG/ytrvm3Đăng ký hội viên ngay nào👇:https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/join★ Mọi nhu cầu quảng cáo và tài trợ xin liên hệ: Công Ty Cổ Phần Vie Channel► Hotline: 0907.950.371 (Mr. Đức Khoa)► Email: khoa.nguyen@viechannel.vn hoặc sales@viechannel.vn📣 Đừng quên subscribe để xem thật nhiều phim mới nhé! 🎈 Subscribe ngay: http://bit.ly/VieChannelHTV2Tải app VieON tại: https://click.vieon.vn/wSBG/ytappXem các chương trình hấp dẫn khác của Vie Channel:►Anh Trai Say Hi Full: https://bit.ly/AnhTraiSayHi►Rap Việt Full: https://bit.ly/RAPVIETSS3►Người Ấy Là Ai Full: https://bit.ly/NALASS5►The Masked Singer Vietnam Full: https://bit.ly/TMSVNSS2Hoặc xem thêm trên hệ thống Vie Channel:►Website: http://viechannel.vn/►Fanpage: https://www.facebook.com/VieChannelHTV2/►Instagram: https://www.instagram.com/viechannelhtv2/"
"h7GMBRVPRGk","小蚂蚁会选到什么呢！#火影忍者 #佐助 #家庭","2024-10-05T07:00:22Z","UC_Np5NHrORbF6wbRVZjMHtg","火影忍者一家","People & Blogs","24.15.10","小蚂蚁|萌娃日常|搞怪日常|意想不到的结局|姐姐依依|弟弟浩宇|弟弟浩鸣|人类幼崽|萌娃搞笑|家庭欢乐|幼儿成长|宠物趣事|亲子互动|家庭日常|童年趣闻|儿童游戏|童言无忌|儿童手工|萌宝贝|儿童绘画|儿童阅读|家庭烹饪|儿童摄影|家庭趣事","100519578","2056166","0","1360","https://i.ytimg.com/vi/h7GMBRVPRGk/default.jpg","False","False","欢迎来到【小蚂蚁】频道！🐜🌍🐂这里是小蚂蚁依依、小宇宙浩宇和小魔王浩鸣的欢乐领地，三个性格迥异的萌娃将带领你进入他们的搞怪日常，体验充满欢笑和意想不到的冒险。😄🎈依依，作为姐姐，古灵精怪，总能以她独特的视角发现生活中的乐趣。🐜浩宇，活泼开朗的弟弟，他的好奇心总是引领着大家探索未知的世界。🌍而浩鸣，作为家中的小魔王，调皮捣蛋却又不失可爱，总能给家庭带来满满的欢乐。🐂在这里，你将看到这三个小宇宙的日常趣事，每一刻都充满了温暖和笑声。💖🔔 如果你喜欢我们的视频，记得订阅并点击小铃铛图标。请注意，本视频符合平台的使用要求，没有任何违规行为。我们的视频制作团队会特别关注儿童的安全需求，确保内容不会对其造成任何危害。"
"2d_Iz379Gdw","SGP VS TDT | FPT VS 1S | VÒNG PLAY-OFF ĐTDV MÙA ĐÔNG 2024 | NGÀY 13/10","2024-10-13T16:57:09Z","UCpnQwjzvDm1MOMtZV2zkVpA","Liên Quân Mobile eSports-Garena","Gaming","24.15.10","garena liên quân|liên quân mobile|liên quân|đấu trường danh vọng|garena liên quân mobile|aov|garena|Saigon Phantom|Esports|trực tiếp liên quân|trực tiếp giải liên quân|esport liên quân|chung kết liên quân|trực tiếp game|dau truong danh vong|dtdv mua xuan 2024|vong bang dtdv|dtdv 2024|giai dau lien quan|xem giải liên quân|saigon phantom|team flash|gg live|vong bang lien quan|chung ket apl|chung ket apl 2024|aimag 2021|boc tham aimag 2021","4761274","44370","0","654","https://i.ytimg.com/vi/2d_Iz379Gdw/default.jpg","False","False","SGP VS TDT | FPT VS 1S | VÒNG PLAY-OFF ĐTDV MÙA ĐÔNG 2024 | NGÀY 13/100:00 Countdown29:44 SGP vs TDT - Ván 11:07:30 SGP vs TDT - Ván 21:54:42 SGP vs TDT - Ván 32:24:30 SGP vs TDT - Ván 42:52:45 SGP vs TDT - Ván 53:30:15 Countdown4:30:45 1S vs FPT - Ván 15:02:45 1S vs FPT - Ván 25:35:55 1S vs FPT - Ván 36:08:11 1S vs FPT - Ván 46:38:54 1S vs FPT - Ván 57:16:20 1S vs FPT - Ván 68:57:40 1S vs FPT - Ván 7🤘 Các kênh chính thống phát sóng trực tiếp ĐTDV Mùa Đông 2024:+ Youtube: youtube.com/@LienQuanMobileSportsGarena+ TikTok: tiktok.com/@caothulienquan.official+ TikTok: tiktok.com/@gocnhin.caothulienquan+ Facebook: fb.com/caothuLQM+ Facebook: fb.com/LienquanMobile#AOGW24 #THtrueJUICEmilk #NangLuongTuNhien #HaoHao #HandyHaoHao•••••••••••••••••••••••••••••••Garena Liên Quân Mobile & Liên Quân Mobile eSports - Garena là 2 kênh YouTube chính thức của hội đồng Liên Quân, đồng thời là đơn vị duy nhất giữ bản quyền sản xuất toàn bộ nội dung game và giải đấu Liên Quân Mobile (Arena of Valor)."
"7MTAG5aXzYI","2 Ngày 1 Đêm Mùa 3-Tập 66: Trường Giang diện đồ lưới cá, Dương Lâm rủ Cris Phan đi hành hương","2024-10-06T13:40:06Z","UChGncdgzOKmp5XQTnQa2h4w","2 NGÀY 1 ĐÊM VIETNAM","Entertainment","24.15.10","đông tây promotion|tvshow|gameshow|2 ngày 1 đêm|2 ngay 1 dem|2 ngày 1 đêm việt nam|2 ngay 1 dem viet nam|2 days 1 night|trường giang|kiều minh tuấn|cris phan|dương lâm|lê dương bảo lâm|ngô kiến huy|duong lam|2 ngày 1 đêm full|bts 2 ngày 1 đêm|2 ngày 1 đêm mùa 3|2 ngay 1 dem mua 3|hậu trường 2 ngày 1 đêm mùa 3|HIEUTHUHAI|hai ngày một đêm|hai ngày một đêm mùa 3|2n1d|2 ngày 1 đêm mùa 3 tập 66|2 ngày 1 đêm mùa 3 tập 16|2 ngày 1 đêm tập 66","9325517","120395","0","7106","https://i.ytimg.com/vi/7MTAG5aXzYI/default.jpg","False","False","2 Ngày 1 Đêm Mùa 3-Tập 66: Trường Giang diện đồ lưới cá, Dương Lâm rủ Cris Phan đi hành hươngXem TRỌN BỘ 2 Ngày 1 Đêm:Mùa 1 👉 https://www.youtube.com/playlist?list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstrMùa 2 👉 https://www.youtube.com/playlist?list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJMùa 3 👉 https://www.youtube.com/playlist?list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz🎧 Nghe Theme song 2 Ngày 1 Đêm  👉 https://VieNETWORK.bfan.link/2N1D💕Sở hữu các sản phẩm Merchandise 2 Ngày 1 Đêm tại https://vieshop.vn/#2Ngay1Dem #2Ngày1Đêm #2Ngày1ĐêmMùa3 #2Ngay1DemMua3 #2N1Đ #TrườngGiang #KiềuMinhTuấn #LêDươngBảoLâm #NgôKiếnHuy #CrisPhan #HIEUTHUHAI #2Ngày1ĐêmTập66 #DongTayPromotion #2Ngày1ĐêmMùa3Tập66⛺ 2 Ngày 1 Đêm là chương trình truyền hình thực tế – nơi các nghệ sĩ có những chuyến đi trong vòng #2Ngay1Dem đến nhiều vùng miền khác nhau, khám phá những cảnh đẹp hùng vĩ, những nét văn hóa độc đáo và những con người thân thiện của Việt Nam. Các thành viên phải hoàn thành nhiều nhiệm vụ và thử thách khác nhau để nhận những phần thưởng/hình phạt thú vị.Với chủ đề Không Giới Hạn, 2 Ngày 1 Đêm Mùa 3 hứa hẹn mang đến cho khán giả những phút giây giải trí đỉnh cao, những thử thách gay cấn và độc đáo.⏰Đón xem 2 NGÀY 1 ĐÊM - MÙA 3 vào lúc:📺 20H30 Chủ Nhật hàng tuần trên kênh truyền hình HTV7, siêu ứng dụng giải trí VieON▶️ 20H40 trên kênh @dongtaypromotionofficial và kênh @2NGAY1DEM         📣 Subscribe kênh 2 NGÀY 1 ĐÊM VIETNAM để xem các tập SỚM NHẤT và MỚI NHẤT: https://bit.ly/2N1DVietnam©️ 2 Ngày 1 Đêm Việt Nam thuộc sở hữu của Dong Tay Promotion và được bảo vệ bản quyền bởi VieNETWORKTải app VieON ngay: https://click.vieon.vn/wSBG/ytapp👉 Theo dõi các kênh chính thức của 2 Ngày 1 Đêm Vietnam:► YouTube: https://www.youtube.com/channel/UChGncdgzOKmp5XQTnQa2h4w► Fanpage: https://www.facebook.com/2Ngay1DemVietNam.DongTay► Instagram: https://www.instagram.com/2days1nightvietnamofficial/► TikTok: https://www.tiktok.com/@2ngay1demvietnam"
"X1rkdQGxI-I","Flipping Robot vs Heavier And Heavier Objects","2024-10-11T01:13:42Z","UCY1kMZp36IQSyNx_9h4mpCg","Mark Rober","Science & Technology","24.15.10","[none]","37458272","998896","0","2266","https://i.ytimg.com/vi/X1rkdQGxI-I/default.jpg","False","False",""
"cJL5_-wEQVs","버블티로 부자 구별하는법4","2024-10-08T11:00:44Z","UCychocGDj9_U2SydLizlfug","진영민yeongmin","People & Blogs","24.15.10","[none]","16672782","202543","0","214","https://i.ytimg.com/vi/cJL5_-wEQVs/default.jpg","False","False","#shorts #버블티 #밀크티 #부자 #먹방 #boba #milktea #rich #mukbang #pink instagram: yeongmin0917mail: dudals0917@naver.com"
"xlRr610Z3dE","啊？就这么水灵灵的穿上了？","2024-10-07T23:22:14Z","UCTvRiVIuudT0GbsVdvh9k0A","一航1","People & Blogs","24.15.10","一航1|两小只|沙雕日常|两个男生|日常Vlog|欢乐时光|搞笑视频|日常搞笑|幽默生活|快乐分享|日常挑战|生活点滴|欢笑源泉|生活记录|真实日常|搞怪日常|男生生活|快乐瞬间|娱乐频道|青春生活|笑料不断|日常趣事|心情日记|网络红人|热门Vlog|生活方式分享|欢乐生活","50151890","1388275","0","3620","https://i.ytimg.com/vi/xlRr610Z3dE/default.jpg","False","False","🌟 欢迎来到【一航1】频道！🌟👬 加入我们，沙雕日常，体验满满的欢笑和不可思议的日常瞬间！这里是我们俩小只带给你的欢乐源泉。😂🎉 每一次视频，我们都会尽力展现最真实、最有趣的一面，无论是搞笑挑战还是日常生活，我们的目标就是让你笑出声来！🎬📢 如果你喜欢看我们的视频，记得订阅频道并点击小铃铛图标🔔，这样你就不会错过任何一个充满笑声的时刻。🚫 放心，我们的所有视频都严格遵守平台规定，绝无违规内容。所有视频内容均由我们原创，受版权法保护，未经允许，严禁复制或转载。侵权必究！🛡️"
"0hPqcOg5bgQ","Chọn đúng chai coca để không bị thua","2024-10-10T09:45:00Z","UCGZtr3Yx_pQH0d2z2zStXhQ","Anh Bốn Mắt","People & Blogs","24.15.10","hành tinh đồ chơi|toy planet|anh tóc xanh|anh bốn mắt|coca","1402767","13156","0","55","https://i.ytimg.com/vi/0hPqcOg5bgQ/default.jpg","False","False","Các bạn có thể gặp anh ở đây nè:https://www.instagram.com/nam.boo_Tik Tok: Anh Bốn MắtFanpage Toy Planet: https://www.facebook.com/hanhtinhdochoi/"
"1lrIip_KXF4","P1 | Cuộc chiến kiến thức giữa Thủ khoa cả họ và Đậu #papataiche #shorts","2024-10-05T11:30:01Z","UClNCtgsJp0ER42Gqv0SwKcg","Papa Tái Chế","Entertainment","24.15.10","papa tái chế|33 tái chế|papa tai che|ba ba tái chế|papa tái chế chống trộm|tái chế|gia đình đậu|papa tái chế đậu có em|đồ chơi tái chế|gia đình nhà đậu|gia đình papa|papa tái chế máy gắp thú|nhà papa tái chế|đậu đậu|bé đậu|đậu papa tái chế|chuyện nhà đậu|papa tái chế lì xì|papataiche|baba tai che|tiktok triệu view|tiktok hài hước|tiktok việt nam|tiktok hài hước việt nam|tiktok xu hướng|clip tiktok xu hướng hiện nay|xu hướng tiktok","4741080","65424","0","293","https://i.ytimg.com/vi/1lrIip_KXF4/default.jpg","False","False","PAPA TÁI CHẾ chào cả nhàaaaa 👵👵Cả nhà nhớ nhấn nút Đăng ký 👍 và bật Chuông thông báo 🔔 để không bỏ lỡ bất kỳ video mới nào nhé✨ Papa Tái Chế ✨https://youtube.com/channel/UClNCtgsJp0ER42Gqv0SwKcg?sub_confirmation=1#papataiche #shorts #tiktok #tiktokfunny #tiktoktrieuview #tiktoktrend #Metubnetwork #Metub✿ Follow PAPA TÁI CHẾ tại tiktok nhaaaa: https://www.tiktok.com/@papa_taicheCoi thêm danh sách phát cả ngày dui dẻ khôm quạo nèee⚡ NHÀ ĐẬU VUI NHỘN - PAPA TÁI CHẾ: https://www.youtube.com/playlist?list=PLhPx-dsgaQgrln4IKm01XWVoMrb8UzgVT⚡ Chuyện gia đình nhà Đậu: https://www.youtube.com/playlist?list=PLhPx-dsgaQgqIOm57bSI1duW5RInx55TH⚡ Đồ chơi tái chế DIY: https://www.youtube.com/playlist?list=PLhPx-dsgaQgqVdTo6CRixIN--jcOHICaS© Bản quyền thuộc về PAPA TÁI CHẾ ☞ Vui lòng không đăng tải lại dưới mọi hình thức!© Copyright by PAPA TÁI CHẾ ☞ Do not Reup!"
"8dFbeBWzxHA","Funny game part 10 | Sinl #shorts","2024-10-14T03:00:07Z","UCYxFOE66XD8KLIgZ0iPtviw","Sinl","Entertainment","24.15.10","sinl|sinl shorts|sinl tiktok|tik tok sinl|shorts|shorts youtube|short|hài|giải trí|tiktok hài|video mới của sinl|sinl với si|sinl si|tiktok|shorts 2024|tik tok|clip hài|video ngắn|phim ngắn|short video|short film|video hài ngắn|shorts shorts|shorts comedy|comedy shorts|shorts funny|shorts new|new shorts|shorts movie|shorts video funny|video hài hước|funny videos 2024|funny games|funny|funny shorts|funny game|funny game part 10","442380","7951","0","38","https://i.ytimg.com/vi/8dFbeBWzxHA/default.jpg","False","False","Funny game part 10 | Sinl #shorts #videoshort Đây là kênh YouTube chính thức của Sinl với chủ đề tình huống ngắn hài hước vui nhộn nhịpMọi người ủng hộ Sinl nhé Yêu cả nhà !Đừng quên đăng ký kênh Sinl nhé mọi người ơi : @sinl✅ Facebook: Nguyễn Khoa Sinl✅ Fanpage: Sinl✅Tiktok: @sinl.1998Mọi người vô kết bạn nhoa !!✅ Liên hệ hợp tác: khoasinlmedia@gmail.com✅ STK: 19981929394959 ( Nguyễn Khoa Sinl - MBBank )© Các video trên kênh @sinl đã được đăng ký bản quyền với Youtube. Vui lòng không sao chép, re-upload dưới mọi hình thức.✖ Mọi hành vi sao chép, re-upload có thể dẫn đến việc tài khoản của bạn bị khóa vĩnh viễn.#sinl #sinlshorts #sinltiktok #sin #tiktok #short #haihuoc"
